//fileLoc: inputData/dem20x20.png
//fluxMulti: 3.0 channelCutOff: 20
# 602

c 0 22.148418
p 324 29 23.026718
p 324 30 23.026718
p 325 28 24.241749
p 326 28 24.257322
p 327 27 25.40186
p 328 26 26.157013
p 329 26 26.157013
p 330 25 27.05975
p 330 24 28.462524
p 331 23 28.462524
p 332 22 29.196426
p 332 21 31.045609
p 333 20 31.163994
p 332 19 31.219471
p 333 18 32.1683
p 332 17 32.1683
p 333 16 33.07043
p 334 15 34.10119
p 335 14 35.33908
p 336 13 36.25118
p 337 12 37.080788
p 338 11 39.122826
p 339 10 40.153137
p 339 9 42.15046
p 339 8 43.07812
p 340 7 44.018093
p 340 6 45.175137

c 1 67.3328
p 339 34 27.06212
p 340 35 27.06212
p 340 33 27.264956
p 340 32 28.029787
p 341 31 28.029787
p 342 31 28.399822
p 343 32 28.399822
p 344 32 29.100798
p 345 32 29.147434
p 346 31 29.169903
p 347 30 30.217258
p 348 31 31.264591
p 349 30 31.264591
p 350 30 32.034744
p 351 30 32.425266
p 352 29 33.242535
p 353 28 33.419838
p 354 28 33.419838
p 355 27 34.252213
p 356 27 34.263805
p 357 26 34.263805
p 358 25 35.356606
p 359 24 36.033764
p 359 23 36.400692
p 360 22 37.179245
p 361 21 37.33566
p 362 20 38.033104
p 363 20 38.48574
p 364 19 38.48574
p 365 18 39.18435
p 366 17 40.093113
p 365 16 40.197678
p 365 15 40.298206
p 366 14 41.392353
p 366 13 42.112137
p 366 12 43.008743
p 366 11 43.008743
p 367 10 43.34431
p 368 9 44.00825
p 367 8 44.354675
p 367 7 44.402046
p 367 6 45.118313
p 368 5 45.32192
p 369 4 46.15112
p 370 3 46.15112
p 370 2 46.46388
p 371 1 47.03232
p 372 1 47.12005
p 373 2 49.071575
p 374 1 51.141567
p 375 2 52.070435
p 376 1 52.09071
p 377 1 52.09071
p 378 0 53.021606
p 379 1 57.124233
p 380 0 59.353634
p 381 1 61.401226
p 382 0 63.036358
p 383 1 65.07395
p 384 2 66.146416
p 385 3 69.28355
p 386 2 72.22613
p 387 2 74.47598
p 388 1 77.20541
p 389 2 80.15086
p 390 3 83.02972
p 391 2 86.06026
p 392 3 90.017944
p 393 4 91.48248
p 394 4 94.39492

c 2 18.106916
p 340 28 29.37692
p 341 29 28.383072
p 340 30 28.064117
p 341 27 30.017895
p 341 26 30.165956
p 341 25 30.34599
p 342 24 31.33466
p 343 23 32.045567
p 343 22 32.30567
p 344 21 33.080215
p 345 20 34.071796
p 345 19 34.071796
p 346 18 35.15568
p 346 17 35.461746
p 347 16 36.187157
p 348 15 38.3155
p 348 14 38.3155
p 349 13 39.155613
p 350 12 41.038303
p 350 11 41.304787
p 351 10 43.209705
p 351 9 44.251724
p 352 8 46.197998
p 351 7 47.153046
p 351 6 47.483837

c 3 36.958954
p 348 49 24.076143
p 349 49 24.076143
p 350 49 25.235258
p 351 48 25.439161
p 352 47 26.368023
p 353 46 27.028376
p 354 45 28.299976
p 355 46 28.299976
p 356 46 29.000593
p 357 45 29.16043
p 358 44 30.216732
p 359 44 31.069393
p 360 45 32.193214
p 361 44 33.42822
p 362 43 34.40276
p 363 42 36.245083
p 364 41 37.019768
p 365 40 38.263855
p 366 39 39.08418
p 367 38 40.31357
p 368 38 41.04152
p 369 37 43.204716
p 370 36 46.14014
p 371 35 47.04271
p 372 35 49.40026
p 373 34 50.45818
p 374 33 52.021618
p 375 34 53.158165
p 376 33 55.279392
p 377 33 57.06044
p 378 33 59.012604
p 379 32 61.0351
p 349 48 25.224918
p 350 47 25.409103

c 4 30.971443
p 351 64 20.132084
p 352 65 19.13915
p 353 66 19.268274
p 354 65 20.0363
p 354 64 21.38897
p 355 63 22.416231
p 356 62 24.17552
p 357 62 24.265148
p 358 61 26.084183
p 359 60 28.240784
p 360 59 30.425293
p 361 58 32.23777
p 362 57 33.114563
p 363 57 34.042027
p 364 56 34.042027
p 364 55 35.061146
p 365 54 36.079193
p 366 53 37.069073
p 367 52 38.090622
p 368 51 39.2594
p 369 50 40.44453
p 370 49 42.22025
p 371 48 43.06683
p 372 48 44.33979
p 373 47 45.486248
p 374 46 46.2664
p 375 45 47.317245
p 376 45 48.14625
p 377 44 50.205914
p 378 44 51.103527
p 352 63 21.251715
p 353 62 22.236704
p 354 61 23.030548
p 353 60 24.013893
p 353 59 24.058573
p 354 58 25.073805
p 354 57 26.083858
p 355 56 27.201807
p 356 55 29.400352
p 357 54 30.333986
p 357 53 30.333986
p 358 52 31.421518

c 5 26.044691
p 355 76 15.157839
p 356 77 15.157839
p 356 75 15.214531
p 357 74 16.0083
p 357 73 16.11989
p 358 72 17.375938
p 359 71 18.294138
p 360 70 19.232508
p 361 69 19.232508
p 362 68 21.21802
p 363 67 22.193672
p 364 66 24.294056
p 365 65 26.385723
p 366 64 27.265379
p 367 63 29.273434
p 368 62 30.225624
p 368 61 30.492743
p 369 60 32.392033
p 370 59 34.02304
p 371 58 36.32397
p 372 57 37.42782
p 373 56 39.3314
p 374 55 41.20253

c 6 12.9897175
p 381 106 18.043755
p 382 107 18.043755
p 383 107 18.0887
p 384 108 18.0887
p 385 108 18.272507
p 386 107 19.006273
p 387 108 19.006273
p 388 107 19.487295
p 389 106 20.106272
p 390 106 20.106272
p 391 105 20.495245
p 392 104 21.073679
p 393 103 21.352568
p 394 102 21.352568
p 395 101 22.329224
p 395 100 22.426832
p 396 99 23.140268
p 395 98 24.000643
p 394 97 24.046146
p 393 96 24.373037
p 394 95 24.373037
p 394 94 25.088177
p 394 93 25.347666
p 394 92 25.494532
p 395 91 26.234022
p 395 90 27.275698
p 396 89 27.296694
p 397 89 27.463678
p 398 88 28.003826
p 398 87 28.068035
p 397 86 28.198921
p 398 85 29.093197
p 399 84 29.372557
p 400 83 30.25015
p 401 83 31.033472

c 7 40.82356
p 402 32 57.223583
p 403 31 57.223583
p 404 30 59.43869
p 404 29 59.43869
p 404 28 60.14742
p 405 27 61.06636
p 406 26 63.19588
p 405 25 64.200294
p 405 24 66.10818
p 404 23 66.112885
p 404 22 66.39083
p 404 21 68.310295
p 405 20 70.420975
p 405 19 72.07594
p 406 18 74.040634
p 405 17 75.27273
p 406 16 76.00515
p 407 15 78.19263
p 407 14 81.11319
p 407 13 83.175415
p 408 12 84.49822
p 409 11 87.23133
p 410 10 90.355095
p 411 9 92.069
p 411 8 93.04638
p 412 7 96.37315
p 412 6 98.04714

c 8 92.244156
p 402 78 32.216755
p 403 78 32.216755
p 403 77 33.258278
p 404 76 33.258278
p 405 75 34.2335
p 406 76 34.2335
p 407 75 35.36427
p 408 74 35.36427
p 409 74 35.469646
p 410 73 36.067562
p 411 73 36.46029
p 412 72 37.36891
p 413 72 37.36891
p 414 71 39.092754
p 415 71 39.164383
p 416 70 39.41556
p 416 69 40.01229
p 417 68 41.437798
p 418 67 41.437798
p 419 66 42.43611
p 420 65 43.193554
p 421 65 43.29174
p 422 64 44.10447
p 423 63 45.129124
p 424 64 46.09259
p 425 64 46.41786
p 426 65 46.41786
p 427 65 48.22306
p 428 65 50.49753
p 429 64 51.066975
p 430 64 54.08565
p 431 65 56.060024
p 432 66 57.44101
p 433 67 58.057262
p 434 67 58.13416
p 435 68 60.123085
p 436 67 63.10401
p 437 66 66.381966
p 438 66 69.17401
p 439 65 71.07301
p 440 64 74.2624
p 441 64 78.326355
p 442 63 80.34139
p 443 62 82.19232
p 444 62 84.4994
p 445 62 87.39116
p 446 62 88.38284
p 447 61 90.29642
p 448 61 92.42203
p 449 60 95.19979
p 450 59 98.018715
p 451 60 99.28632
p 452 60 101.426506
p 453 59 104.160614
p 454 58 106.17221
p 455 58 106.349976
p 456 58 108.2945
p 457 57 111.1353
p 458 56 113.09032
p 459 56 115.005356
p 460 56 117.45584
p 461 55 119.046
p 462 54 121.23465
p 463 54 123.47665
p 464 53 124.46091

c 9 45.791714
p 405 28 60.48406
p 406 27 62.00525
p 407 26 63.130287
p 407 25 64.338356
p 408 24 66.26899
p 409 23 68.30586
p 409 22 70.415
p 410 21 73.30107
p 411 20 74.21105
p 411 19 75.09045
p 412 18 78.2014
p 412 17 79.02275
p 413 16 81.30036
p 414 15 84.38826
p 415 14 88.11765
p 416 13 91.03432
p 417 12 94.37661
p 418 11 97.35448
p 419 10 100.03514
p 420 11 103.06114
p 421 10 106.27577

c 10 52.13566
p 406 111 19.170626
p 407 111 19.170626
p 408 110 20.166183
p 409 109 20.166183
p 410 108 21.101305
p 411 107 22.016224
p 412 106 22.459745
p 413 105 23.028769
p 414 104 24.026745
p 415 104 24.07572
p 416 105 25.388952
p 417 104 26.447285
p 418 104 27.184603
p 419 103 28.083736
p 420 102 29.158518
p 421 102 30.25705
p 422 101 31.100933
p 422 100 32.193356
p 422 99 32.193356
p 423 98 32.440365
p 424 97 34.138794
p 425 97 36.368874
p 426 96 37.090443
p 427 97 37.407475
p 428 96 39.04792
p 429 97 39.422905
p 430 96 40.048603
p 431 95 41.040756
p 432 96 44.249332
p 433 96 46.09679
p 434 95 47.238293
p 435 95 49.192886
p 436 95 51.047417
p 437 96 52.328312
p 438 96 54.02661
p 439 96 57.02738
p 440 95 60.102684
p 441 96 61.31227
p 442 96 62.039364
p 443 96 65.00527
p 444 97 67.121605
p 445 96 70.020584
p 446 95 71.30628

c 11 8.007981
p 407 143 11.019525
p 408 144 11.019525
p 409 143 11.1119585
p 410 144 11.120765
p 411 145 11.131018
p 412 146 11.131018
p 413 145 12.0105505
p 414 144 12.087341
p 415 145 12.23114
p 416 144 13.030902
p 417 145 13.061771
p 418 145 13.068056
p 419 144 14.017365
p 419 143 14.142494
p 420 142 14.167102
p 420 141 14.167102
p 421 141 15.08813
p 422 140 15.217572
p 422 139 15.28337
p 423 138 16.02291
p 424 137 16.477106
p 425 136 17.092707
p 426 135 18.037798
p 427 135 18.418177
p 428 134 19.027506

c 12 20.945637
p 411 131 13.177808
p 411 132 13.0259695
p 411 133 13.0259695
p 412 130 14.069405
p 413 129 15.010855
p 414 128 15.021122
p 415 127 16.180677
p 416 126 16.180677
p 417 127 17.027826
p 418 128 17.0453
p 419 127 18.042255
p 420 126 18.054518
p 421 125 19.14532
p 422 124 20.11629
p 423 123 21.082996
p 424 124 21.082996
p 425 123 22.152596
p 426 123 22.178698
p 427 122 23.024094
p 428 122 24.370779
p 429 121 24.370779
p 430 120 25.010555
p 431 119 26.051188
p 432 118 28.0217
p 432 117 29.399176
p 433 116 30.345894
p 434 115 32.05625
p 434 114 34.032692
p 435 113 36.0589
p 436 112 37.082756
p 436 111 39.00308
p 437 112 39.24275
p 436 113 36.37872
p 435 114 34.123444

c 13 19.086681
p 425 45 62.131138
p 426 45 62.131138
p 426 44 63.357246
p 426 43 66.195564
p 426 42 67.4717
p 426 41 67.4717
p 427 40 68.10997
p 427 39 71.12654
p 426 38 73.04671
p 427 37 73.15986
p 427 36 74.366646
p 427 35 74.48606
p 428 34 77.35309
p 428 33 79.05981
p 428 32 80.33283
p 429 31 81.35744
p 430 30 83.29427
p 430 29 85.061386
p 431 28 87.34196
p 432 27 89.255806
p 433 28 89.26432
p 432 29 87.29007
p 431 30 85.38394
p 430 31 83.237045
p 429 32 81.21782

c 14 75.37575
p 426 64 47.0299
