//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

c 0 25.886875
p 317 26 21.139832
p 317 27 21.139832
p 318 28 21.246548
p 319 29 21.246548
p 320 29 22.07454
p 321 29 22.188509
p 322 28 23.093575
p 323 28 23.102312
p 324 27 24.19298
p 324 26 24.350512
p 325 25 25.345865
p 326 24 26.058718
p 327 24 26.349907
p 328 23 27.04044
p 328 22 28.298529
p 329 21 29.126247
p 330 20 30.04174
p 330 19 31.072258
p 331 18 32.270744
p 332 17 32.270744
p 333 16 33.297783
p 334 15 34.29219
p 335 14 35.13249
p 336 13 36.283573
p 337 12 37.423622
p 338 11 39.35174
p 339 10 40.04265
p 339 9 42.080254
p 340 8 43.07982
p 340 7 44.40424
p 340 6 45.31872
p 340 5 47.026707

c 1 17.17238
p 320 46 20.012815
p 321 46 20.012815
p 322 45 20.044167
p 323 45 21.052511
p 324 44 21.067476
p 324 43 21.48147
p 325 42 22.009268
p 326 42 22.077003
p 327 41 22.164398
p 328 42 22.245497
p 329 42 23.130533
p 330 41 23.223747
p 330 40 23.223747
p 331 40 23.346321
p 332 39 24.0094
p 333 38 24.064766
p 332 37 24.186222
p 332 36 24.496643
p 333 35 25.22295
p 334 36 26.069464
p 335 35 26.069464
p 336 35 26.250801
p 337 34 27.248098
p 338 33 27.260456
p 339 32 27.260456
p 339 31 28.159618
p 340 30 28.344805
p 341 29 28.36021
p 342 28 29.098595
p 343 28 29.457634
p 344 27 30.10101
p 344 26 31.159105
p 345 25 32.436256
p 346 24 33.19042
p 347 23 34.223236
p 348 22 36.196213
p 349 21 37.185196

c 2 11.06036
p 324 35 22.137085
p 325 36 22.137085
p 326 36 22.341501
p 327 36 23.277174
p 328 35 24.031858
p 329 34 24.050335
p 330 34 24.050335
p 331 33 25.027977
p 332 33 25.092806
p 333 33 25.490063
p 334 32 26.053518
p 334 31 26.108244
p 333 30 26.232885
p 334 29 27.095778
p 334 28 28.09935
p 335 27 28.09935
p 335 26 29.335747
