# 597

c 0 20.316927
p 324 24 24.15071
p 325 24 25.483892
p 326 23 26.252676
p 327 22 27.16459
p 328 22 28.343445
p 329 21 29.15963
p 330 20 30.092037
p 330 19 31.208015
p 331 18 32.09399
p 332 17 32.199818
p 333 16 33.155315
p 334 15 34.36209
p 335 14 35.35409
p 336 13 36.34691
p 337 12 37.490242
p 337 11 39.04613
p 338 10 40.044235
p 338 9 42.330288
p 339 8 43.343174
p 340 7 44.467636

c 1 16.89277
p 342 26 30.14844
p 343 25 31.3999
p 344 24 32.059208
p 344 23 32.116295
p 343 22 32.287243
p 344 21 33.142654
p 344 20 34.070694
p 345 19 34.275543
p 345 18 35.145935
p 346 17 35.407234
p 347 16 36.346165
p 347 15 38.264137
p 348 14 38.46856
p 349 13 39.229015
p 350 12 41.041294
p 350 11 41.454483
p 351 10 43.023388
p 351 9 44.30661
p 352 9 45.128155
p 352 8 46.131626
p 352 7 47.04121

c 2 33.19795
p 351 66 18.099792
p 352 65 19.381586
p 353 64 20.014736
p 353 63 21.14909
p 353 62 22.183846
p 354 61 23.23767
p 355 60 24.08847
p 355 59 25.10433
p 356 58 26.412107
p 357 57 28.02968
p 358 56 30.214565
p 359 55 32.149635
p 360 54 33.06945
p 361 53 33.350376
p 362 52 34.014313
p 363 52 35.039146
p 364 53 35.30638
p 365 52 36.260395
p 366 51 37.38023
p 367 50 38.006844
p 368 49 39.390038
p 369 48 41.004086
p 370 48 42.162228
p 371 47 43.01397
p 372 48 44.153625
p 373 47 45.20422
p 374 46 46.280426
p 375 45 47.007633
p 376 45 48.211987
p 377 45 50.35312
p 378 44 51.29774

c 3 29.969528
p 357 44 29.144684
p 358 45 30.09143
p 359 44 31.15667
p 360 45 32.14232
p 361 44 33.499718
p 362 43 34.268787
p 363 42 36.41783
p 364 41 37.323215
p 365 40 38.47824
p 366 39 39.430634
p 367 38 40.30936
p 368 38 41.346638
p 368 37 42.01151
p 369 36 43.192234
p 369 35 44.07656
p 369 34 46.070206
p 370 35 46.11314
p 371 35 47.03072
p 372 35 49.134483
p 373 34 50.091286
p 374 34 52.169514
p 375 34 53.056095
p 376 34 55.074455
p 377 33 57.343853
p 378 32 59.114212

c 4 25.843887
p 360 70 19.156694
p 361 69 19.466362
p 361 68 21.044699
p 362 68 21.261353
p 362 67 22.125216
p 363 67 22.279291
p 363 66 24.295576
p 364 66 24.296995
p 364 65 25.095037
p 364 64 26.370167
p 365 65 26.48767
p 366 64 27.303516
p 367 64 28.231718
p 368 64 29.017527
p 367 63 29.170998
p 368 62 30.178186
p 368 61 30.271109
p 369 60 32.082752
p 369 59 33.104816
p 370 59 34.079
p 371 58 36.040688
p 372 57 37.453136
p 373 56 39.031487
p 373 55 41.093826
p 374 55 41.271725
p 374 54 42.283226
p 375 54 42.40342
p 376 53 44.066734
p 360 71 18.222847

c 5 43.81327
p 377 1 52.292473
p 378 0 53.002975
p 379 0 57.27782
p 380 0 59.248745
p 381 1 61.34091
p 382 1 63.229362
p 383 2 65.13491
p 384 2 66.02731
p 385 3 69.481575
p 386 3 72.06224
p 387 2 74.279594
p 388 1 77.33594
p 389 2 80.352646
p 390 3 83.00563
p 391 2 86.162056
p 392 2 89.06669
p 393 3 91.167206
p 394 3 94.08464
p 395 2 96.10574

c 6 7.231449
p 389 99 22.025541
p 390 98 23.048431
p 391 97 23.409246
p 392 96 24.015526
p 393 95 24.096203
p 394 95 24.247587
p 395 94 25.041004
p 394 93 25.310127
